ID,ID_STATE,CITY,COUNTY,LATITUDE,LONGITUDE
1943,5,Crescent Mills,Plumas,40,-121
1944,5,Cressey,Merced,37,-121
1945,5,Crest Park,San Bernardino,34,-117
1946,5,Crestline,San Bernardino,34,-117
1947,5,Creston,San Luis Obispo,35,-121
1948,5,Crockett,Contra Costa,38,-122
1949,5,Crows Landing,Stanislaus,37,-121
1950,5,Culver City,Los Angeles,34,-118
1951,5,Cupertino,Santa Clara,37,-122
1952,5,Cutler,Tulare,37,-119
1953,5,Cutten,Humboldt,41,-124
1954,5,Cypress,Orange,34,-118
1955,5,Daggett,San Bernardino,35,-117
1956,5,Daly City,San Mateo,38,-122
1957,5,Dana Point,Orange,33,-118
1958,5,Danville,Contra Costa,38,-122
1959,5,Dardanelle,Tuolumne,38,-120
1960,5,Darwin,Inyo,36,-118
1961,5,Davenport,Santa Cruz,37,-122
1962,5,Davis,Yolo,39,-122
1963,5,Davis Creek,Modoc,42,-120
1964,5,Death Valley,Inyo,36,-117
1965,5,Deer Park,Napa,39,-122
1966,5,Del Mar,San Diego,33,-117
1967,5,Del Rey,Fresno,37,-120
1968,5,Delano,Kern,36,-119
1969,5,Delhi,Merced,37,-121
1970,5,Denair,Stanislaus,38,-121
1971,5,Descanso,San Diego,33,-117
1972,5,Desert Center,Riverside,34,-115
1973,5,Desert Hot Springs,Riverside,34,-116
1974,5,Diablo,Contra Costa,38,-122
1975,5,Diamond Bar,Los Angeles,34,-118
1976,5,Diamond Springs,El Dorado,39,-121
1977,5,Dillon Beach,Marin,38,-123
1978,5,Dinuba,Tulare,37,-119
1979,5,Discovery Bay,Contra Costa,38,-122
1980,5,Dixon,Solano,38,-122
1981,5,Dobbins,Yuba,39,-121
1982,5,Dorris,Siskiyou,42,-122
1983,5,Dos Palos,Merced,37,-121
1984,5,Dos Rios,Mendocino,40,-123
1985,5,Douglas City,Trinity,41,-123
1986,5,Douglas Flat,Calaveras,38,-120
1987,5,Downey,Los Angeles,34,-118
1988,5,Downieville,Sierra,40,-121
1989,5,Doyle,Lassen,40,-120
1990,5,Drytown,Amador,38,-121
1991,5,Duarte,Los Angeles,34,-118
1992,5,Dublin,Alameda,38,-122
1993,5,Ducor,Tulare,36,-119
1994,5,Dulzura,San Diego,33,-117
1995,5,Duncans Mills,Sonoma,38,-123
1996,5,Dunlap,Fresno,37,-119
1997,5,Dunnigan,Yolo,39,-122
1998,5,Dunsmuir,Siskiyou,41,-122
1999,5,Durham,Butte,40,-122
2000,5,Dutch Flat,Placer,39,-121
2001,5,Eagleville,Modoc,41,-120
2002,5,Earlimart,Tulare,36,-119
2003,5,Earp,San Bernardino,34,-114
2004,5,East Irvine,Orange,34,-118
2005,5,Echo Lake,El Dorado,39,-120
2006,5,Edison,Kern,35,-119
2007,5,Edwards,Kern,35,-118
2008,5,El Cajon,San Diego,33,-117
2009,5,El Centro,Imperial,33,-116
2010,5,El Cerrito,Contra Costa,38,-122
2011,5,El Dorado,El Dorado,39,-121
